alpha_H,alpha_W,l1_ratio,n_components,reconstruction_error,coherence_score
0.0,0.0,0.5,6,206.32358844593247,0.5577648811794113
0.0,0.0,0.5,8,204.55466027797763,0.5830185586450511
0.0,0.0,0.5,10,202.7323121325095,0.5837248089025131
0.0,0.0,1.0,6,206.32358844593247,0.5577648811794113
0.0,0.0,1.0,8,204.55466027797763,0.5830185586450511
0.0,0.0,1.0,10,202.7323121325095,0.5837248089025131
0.0,0.1,0.5,6,222.72853431924702,0.4994256839010504
0.0,0.1,0.5,8,222.72853431924702,0.47984070200795076
0.0,0.1,0.5,10,222.72853431924702,0.46294023699360365
0.0,0.1,1.0,6,222.72853431924702,0.4994256839010504
0.0,0.1,1.0,8,222.72853431924702,0.47984070200795076
0.0,0.1,1.0,10,222.72853431924702,0.46294023699360365
0.1,0.0,0.5,6,222.72853431924702,0.3990835972940781
0.1,0.0,0.5,8,222.72853431924702,0.3990835972940781
0.1,0.0,0.5,10,222.72853431924702,0.39908359729407816
0.1,0.0,1.0,6,222.72853431924702,0.3990835972940781
0.1,0.0,1.0,8,222.72853431924702,0.3990835972940781
0.1,0.0,1.0,10,222.72853431924702,0.39908359729407816
0.1,0.1,0.5,6,222.72853431924702,0.3990835972940781
0.1,0.1,0.5,8,222.72853431924702,0.3990835972940781
0.1,0.1,0.5,10,222.72853431924702,0.39908359729407816
0.1,0.1,1.0,6,222.72853431924702,0.4994256839010504
0.1,0.1,1.0,8,222.72853431924702,0.47984070200795076
0.1,0.1,1.0,10,222.72853431924702,0.46294023699360365
